date_bjt,time_bjt,match,team,home_adaptation_multiplier,travel_multiplier,weather_multiplier,cohesion_multiplier,injury_multiplier,opponent_attack_multiplier,tempo_multiplier,weather_high_c,travel_km,analysis_notes,source_urls
2026-06-14,03:00,Qatar vs Switzerland,Qatar,,0.96,1.02,,,,1.00,30,13000,"Santa Clara forecast high 30C; Qatar are heat-adapted but long travel remains a negative. No strong injury signal found.","weather:Santa Clara 2026-06-13 forecast; preview:https://www.rotowire.com/soccer/article/qatar-vs-switzerland-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-b-117815"
2026-06-14,03:00,Qatar vs Switzerland,Switzerland,,0.97,0.96,,0.97,,0.99,30,9400,"Santa Clara forecast high 30C; Switzerland are high-latitude/cooler-climate profile. Ruben Vargas is questionable, reducing width and set-piece delivery.","weather:Santa Clara 2026-06-13 forecast; injury:https://www.rotowire.com/soccer/article/qatar-vs-switzerland-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-b-117815"
2026-06-14,06:00,Brazil vs Morocco,Brazil,,0.97,1.01,,0.94,,1.00,32,7700,"East Rutherford forecast high 32C; Brazil are heat-adapted but Neymar is not expected for a full 90 minutes, reducing central creativity.","weather:East Rutherford 2026-06-13 forecast; injury:https://www.rotowire.com/soccer/article/brazil-vs-morocco-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-117816; espn:https://www.espn.com/soccer/story/_/id/49026946/fifa-world-cup-2026-brazil-vs-morocco-kickoff-how-watch-stats-team-news"
2026-06-14,06:00,Brazil vs Morocco,Morocco,,0.98,1.00,,0.97,1.06,1.00,32,6100,"East Rutherford forecast high 32C. Morocco have defensive injury pressure: Aguerd out, Mazraoui questionable, Ez Abde out for group stage; this raises opponent scoring risk.","weather:East Rutherford 2026-06-13 forecast; injury:https://www.rotowire.com/soccer/article/brazil-vs-morocco-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-117816"
2026-06-14,09:00,Haiti vs Scotland,Haiti,,0.99,1.01,,1.00,,1.00,33,2600,"Foxborough forecast high 33C; Haiti have warmer-climate adaptation and RotoWire reports no injury concerns.","weather:Foxborough 2026-06-13 forecast; team_news:https://www.rotowire.com/soccer/article/haiti-vs-scotland-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-117818"
2026-06-14,09:00,Haiti vs Scotland,Scotland,,0.96,0.94,1.02,1.00,,1.00,33,5100,"Foxborough forecast high 33C; Scotland are high-latitude/cooler-climate profile. Guardian reports a North Carolina preparation base and RotoWire reports a settled shape with no injury concerns.","weather:Foxborough 2026-06-13 forecast; preparation:https://www.theguardian.com/football/2026/jun/12/scotland-world-cup-football-haiti-steve-clarke; team_news:https://www.rotowire.com/soccer/article/haiti-vs-scotland-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-c-117818"
2026-06-14,12:00,Australia vs Turkey,Australia,,0.98,,0.96,1.00,,1.00,26,12500,"Vancouver forecast high 26C, below heat threshold. Australia trained in Oakland before traveling to Vancouver, but Guardian notes 17 debutants, so cohesion is slightly discounted.","weather:Vancouver 2026-06-13 forecast; preparation:https://www.theguardian.com/football/2026/jun/13/socceroos-world-cup-australia-football-team-preview"
2026-06-14,12:00,Australia vs Turkey,Turkey,,0.97,,,0.96,,1.00,26,9700,"Vancouver forecast high 26C, below heat threshold. Sports Mole says Kenan Yildiz is a major doubt, while Arda Guler has recovered.","weather:Vancouver 2026-06-13 forecast; injury:https://www.sportsmole.co.uk/football/australia/world-cup-2026/predicted-lineups/will-yildiz-be-involved-how-turkey-could-line-up-against-australia_599009.html"
2026-06-15,01:00,Germany vs Curaçao,Germany,,0.97,0.99,0.98,1.00,,0.99,32,8500,"Houston forecast near 32C. RotoWire says Germany are overwhelming favorites but Nagelsmann's XI has experimental edges and Neuer is a game-time decision with a calf issue.","weather:Houston 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/germany-vs-curacao-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-e-117956"
2026-06-15,01:00,Germany vs Curaçao,Curaçao,,0.99,1.01,1.00,1.00,1.02,0.99,32,3500,"Houston forecast near 32C. Curaçao are heat-adapted, have no listed injury concern, and are expected to defend deep in a 4-5-1 shape. Germany goalkeeper uncertainty gives only a small opponent-attack bump.","weather:Houston 2026-06-14 forecast; preview:https://www.rotowire.com/soccer/article/germany-vs-curacao-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-e-117956"
