date_bjt,time_bjt,match,team,key_player,status,impact,source_urls,notes
2026-06-16,01:00,Spain vs Cape Verde,Spain,Lamine Yamal,bench_limited,-0.70,https://www.aljazeera.com/sports/2026/6/14/lamine-yamal-fit-to-start-on-bench-for-spain-vs-cape-verde-at-world-cup; https://worldsoccertalk.com/world-cup/is-lamine-yamal-playing-spain-vs-cape-verde-projected-lineups-for-the-2026-world-cup-group-h-game/,Yamal was fit but expected to start from the bench; treat as negative creation shock.
2026-06-17,06:00,Iraq vs Norway,Norway,Erling Haaland,projected_start,1.00,https://www.rotowire.com/soccer/article/iraq-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-118221; https://www.theguardian.com/football/2026/jun/15/erling-haaland-norway-world-cup-debut,Projected starter in Norway front line.
2026-06-17,09:00,Argentina vs Algeria,Argentina,Lionel Messi,managed,0.00,https://www.rotowire.com/soccer/article/argentina-vs-algeria-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-j-118222,Projected to play but hamstring note means no star uplift.
2026-06-23,01:00,Argentina vs Austria,Argentina,Lionel Messi,confirmed_start,1.00,https://www.prizepicks.com/playbook-article/argentina-vs-austria-lineups-today-confirmed-world-cup-2026-monday-june-22; https://dknetwork.draftkings.com/2026/06/22/tracking-lionel-messi-in-argentina-vs-austria-on-monday-6-22-26-how-did-he-perform/,Confirmed starting forward with Lautaro Martinez.
2026-06-23,05:00,France vs Iraq,France,Kylian Mbappe,expected_start,1.00,https://www.aljazeera.com/sports/2026/6/21/mbappe-france-play-iraq-in-world-cup-match-prediction-team-news-lineups; https://sports.yahoo.com/articles/france-xi-vs-iraq-confirmed-103715150.html,France attack centered on Mbappe.
2026-06-23,08:00,Norway vs Senegal,Norway,Erling Haaland,projected_start,1.00,https://www.rotowire.com/soccer/article/norway-vs-senegal-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-group-i-119063; https://www.si.com/soccer/norway-vs-senegal-world-cup-preview-predictions-lineups-6-22-26,Projected starter in Norway front three.
2026-06-25,06:00,Scotland vs Brazil,Brazil,Neymar,managed,0.35,https://www.covers.com/world-cup/brazil-vs-scotland-prediction-picks-odds-wednesday-6-24-2026; fixed-source-search:SI/RotoWire preview scan 2026-06-24,Neymar is treated as available but minutes/role uncertain, so only a small Brazil creation uplift.
2026-06-27,03:00,Norway vs France,Norway,Erling Haaland,expected_start,1.00,https://www.sportsmole.co.uk/football/norway/world-cup-2026/preview/norway-vs-france-prediction-team-news-lineups_600014.html,Haaland is expected to start and remains Norway's primary finishing route.
2026-06-27,03:00,Norway vs France,France,Kylian Mbappe,expected_start,1.00,https://www.sportsmole.co.uk/football/norway/world-cup-2026/preview/norway-vs-france-prediction-team-news-lineups_600014.html,Mbappe is expected to start with France playing for first place.
2026-06-27,08:00,Uruguay vs Spain,Spain,Lamine Yamal,expected_start,1.00,https://www.sportsmole.co.uk/football/spain/world-cup-2026/predicted-lineups/williams-yamal-decisions-how-spain-could-line-up-vs-uruguay_599995.html,Yamal is expected to start, restoring Spain's elite creator signal.
2026-06-27,11:00,Egypt vs Iran,Egypt,Mohamed Salah,expected_start,1.00,https://www.sportsmole.co.uk/football/egypt/world-cup-2026/preview/egypt-vs-iran-prediction-team-news-lineups_599975.html,Salah is expected to start and has already driven Egypt production.
2026-06-25,09:00,South Africa vs South Korea,South Korea,Son Heung-min,expected_start,1.00,fixed-source-search:SI/RotoWire/Covers preview scan 2026-06-24,South Korea attack still runs through Son; apply normal team-hub goal uplift.
2026-06-26,07:00,Japan vs Sweden,Sweden,Alexander Isak,expected_start,1.00,sportsmole:https://www.sportsmole.co.uk/football/japan/world-cup-2026/preview/japan-vs-sweden-prediction-team-news-lineups_599879.html,Projected in Sweden front line with Gyokeres.
2026-06-26,10:00,Turkey vs United States,United States,Christian Pulisic,possible_rest,0.20,sportsmole:https://www.sportsmole.co.uk/football/turkey/world-cup-2026/preview/turkey-vs-usa-prediction-team-news-lineups_599846.html,"USA have clinched first; Pulisic may be rested, so only a small uplift."
2026-06-28,05:00,Panama vs England,England,Harry Kane,expected_start,0.85,https://www.sportsmole.co.uk/football/england/world-cup-2026/preview/panama-vs-england-prediction-team-news-lineups_600066.html,Kane remains England's main finishing route, but qualification/draw utility limits the uplift.
2026-06-28,07:30,Colombia vs Portugal,Portugal,Cristiano Ronaldo,expected_start,0.70,https://www.sportsmole.co.uk/football/portugal/world-cup-2026/preview/colombia-vs-portugal-prediction-team-news-lineups_600099.html,Ronaldo keeps Portugal's box-finishing route, but low-event group context limits the uplift.
2026-06-28,10:00,Jordan vs Argentina,Argentina,Lionel Messi,bench_limited,0.00,https://global.espn.com/football/story/_/id/49191791/lionel-messi-argentina-bench-jordan-fifa-2026-world-cup; https://www.foxsports.com/stories/soccer/lionel-messi-playing-today-argentina-star-wont-start-world-cup-showdown-vs-jordan; https://www.si.com/soccer/argentina-predicted-lineup-vs-jordan-world-cup-6-27-26,Scaloni confirmed Messi starts on the bench; remove Messi star uplift for the pre-match model.
2026-06-30,01:00,Brazil vs Japan,Brazil,Neymar,bench_limited,0.20,https://www.sportsmole.co.uk/football/brazil/world-cup-2026/preview/brazil-vs-japan-prediction-team-news-lineups_600204.html,Neymar is expected to be a substitute option; keep only a small late-game Brazil creation uplift.
2026-07-01,01:00,Ivory Coast vs Norway,Norway,Erling Haaland,expected_start,1.00,https://www.sportsmole.co.uk/football/ivory-coast/world-cup-2026/preview/ivory-coast-vs-norway-prediction-team-news-lineups_600294.html,Haaland is expected to start and remains Norway's primary finishing route.
2026-07-01,05:00,France vs Sweden,France,Kylian Mbappe,expected_start,1.00,https://www.sportsmole.co.uk/football/france/world-cup-2026/preview/france-vs-sweden-prediction-team-news-lineups_600264.html,Mbappe is expected to start and remains France's primary finishing route.
2026-07-01,05:00,France vs Sweden,Sweden,Alexander Isak,expected_start,1.00,https://www.sportsmole.co.uk/football/france/world-cup-2026/preview/france-vs-sweden-prediction-team-news-lineups_600264.html,Isak is expected to start and keeps Sweden's one-goal route alive.
2026-07-04,02:00,Australia vs Egypt,Egypt,Mohamed Salah,fit_available,0.85,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/egypt-injury-worries-australia-mohamed-salah,Salah injury status has improved; treat as available but below full certainty.
2026-07-04,06:00,Argentina vs Cape Verde,Argentina,Lionel Messi,projected_start,1.00,https://www.espn.com/soccer/story/_/id/49234020/fifa-world-cup-2026-argentina-vs-cape-verde-tv-channel-how-watch-kickoff-live-stream-referee-predicted-lineups-lionel-messi; https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/argentina-cabo-verde-live-stream-team-news-tickets,Messi is expected to feature; keep full Argentina star creation signal unless lineup changes.
2026-07-05,05:00,Paraguay vs France,France,Kylian Mbappe,expected_start,1.00,https://www.si.com/soccer/france-predicted-lineup-vs-paraguay-world-cup-7-4-26; https://www.rotowire.com/soccer/article/france-vs-paraguay-picks-tips-odds-best-bets-2026-world-cup-round-of-16-121004,Mbappe is expected to start and remains France's primary finishing route.
2026-07-06,04:00,Brazil vs Norway,Norway,Erling Haaland,expected_start,1.00,https://www.rotowire.com/soccer/article/brazil-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-16-121006; https://www.goal.com/en-us/news/brazil-norway-world-cup-preview/blt6910d0cef5c2220b,Haaland is expected in Norway's front line and remains the main finishing route.
2026-07-06,04:00,Brazil vs Norway,Brazil,Neymar,bench_limited,0.20,https://www.rotowire.com/soccer/article/brazil-vs-norway-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-16-121006; https://www.goal.com/en-us/news/brazil-norway-world-cup-preview/blt6910d0cef5c2220b,Neymar is not projected to start, so keep only a small late-game creation uplift.
2026-07-06,08:00,Mexico vs England,England,Harry Kane,expected_start,1.00,https://www.rotowire.com/soccer/article/mexico-vs-england-preview-predicted-lineups-team-news-tactical-analysis-2026-world-cup-round-of-16-121007; https://www.covers.com/world-cup/mexico-vs-england-prediction-picks-odds-sunday-7-5-2026,Kane is expected in England's front line and remains the primary finishing route.
2026-07-07,03:00,Portugal vs Spain,Spain,Lamine Yamal,expected_start,1.00,https://www.si.com/soccer/portugal-vs-spain-world-cup-preview-predictions-lineups-7-6-26; https://www.covers.com/world-cup/spain-vs-portugal-prediction-picks-odds-monday-7-6-2026,Yamal is expected in Spain's front line; keep full Spain creator signal.
2026-07-07,03:00,Portugal vs Spain,Portugal,Cristiano Ronaldo,expected_start,0.70,https://www.si.com/soccer/portugal-predicted-lineup-vs-spain-world-cup-7-6-26; https://www.covers.com/world-cup/spain-vs-portugal-prediction-picks-odds-monday-7-6-2026,Ronaldo is expected to start but Spain's low-event control profile limits the finishing uplift.
2026-07-07,08:00,United States vs Belgium,United States,Christian Pulisic,expected_start,1.00,https://www.si.com/soccer/usa-vs-belgium-world-cup-preview-predictions-lineups-7-6-26; https://www.ussoccer.com/stories/2026/07/usmnt-vs-belgium-match-history-2026-fifa-world-cup-round-of-16,Pulisic is expected in the USA front line and remains the primary creator-finisher.
2026-07-08,00:00,Argentina vs Egypt,Argentina,Lionel Messi,expected_start,1.00,https://www.si.com/soccer/argentina-vs-egypt-world-cup-preview-predictions-lineups-7-7-26; https://www.squawka.com/us/news/world-cup/match-preview-argentina-vs-egypt-07-07-26-world-cup-2026-round-of-16/,Messi is expected to start and remains Argentina's creator-finisher route.
2026-07-08,00:00,Argentina vs Egypt,Egypt,Mohamed Salah,fit_available,0.85,https://www.theguardian.com/football/2026/jul/06/mohamed-salah-injury-liverpool-egypt-world-cup-2026-argentina; https://www.si.com/soccer/argentina-vs-egypt-world-cup-preview-predictions-lineups-7-7-26,Salah remains available but keep below full certainty due to recent fitness concern.
2026-07-10,04:00,France vs Morocco,France,Kylian Mbappe,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-morocco-preview-live-stream-team-news-tickets; https://www.sportsmole.co.uk/football/france/world-cup-2026/preview/france-vs-morocco-prediction-team-news-lineups_600715.html,Mbappe is expected to start and remains France's primary finishing route.
2026-07-11,03:00,Spain vs Belgium,Spain,Lamine Yamal,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/spain-v-belgium-live-stream-team-news-tickets-and-more; https://www.goal.com/en-us/news/spain-belgium-world-cup-preview/blt1a7a9e35c22bbc19,Yamal is expected to start and remains Spain's main creator route.
2026-07-12,05:00,Norway vs England,Norway,Erling Haaland,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/norway-england-preview-live-stream-team-news-tickets; https://www.goal.com/en-us/news/norway-england-world-cup-preview/blt3a1c9f0d91f31b64,Haaland is expected to start and remains Norway's primary finishing route.
2026-07-12,05:00,Norway vs England,England,Harry Kane,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/norway-england-preview-live-stream-team-news-tickets; https://www.goal.com/en-us/news/norway-england-world-cup-preview/blt3a1c9f0d91f31b64,Kane is expected to start and remains England's primary finishing route.
2026-07-12,09:00,Argentina vs Switzerland,Argentina,Lionel Messi,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/argentina-switzerland-preview-live-stream-team-news-tickets; https://www.goal.com/en-us/news/argentina-switzerland-world-cup-preview/blt53e9fbf74cb2701e,Messi is expected to start and remains Argentina's creator-finisher route.
2026-07-15,03:00,France vs Spain,France,Kylian Mbappe,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-v-spain-live-stream-team-news-tickets-and-more; https://talksport.com/football/world-cup/4411809/france-v-spain-live-commentary-uk-kick-off-time-team-news/,Mbappe is expected to start and remains France's primary finishing route.
2026-07-15,03:00,France vs Spain,Spain,Lamine Yamal,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/france-v-spain-live-stream-team-news-tickets-and-more; https://www.standard.co.uk/sport/football/spain-xi-vs-france-confirmed-team-news-predicted-lineup-injury-latest-world-cup-2026-b1289717.html,Yamal is expected to start and remains Spain's main creation route.
2026-07-16,03:00,England vs Argentina,England,Harry Kane,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/england-v-argentina-live-stream-team-news-tickets-and-more; https://talksport.com/football/world-cup/4347052/england-semi-final-opponent-date-time-location-argentina-switzerland/,Kane is expected to start and remains England's primary finishing route.
2026-07-16,03:00,England vs Argentina,Argentina,Lionel Messi,expected_start,1.00,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/england-v-argentina-live-stream-team-news-tickets-and-more; https://www.standard.co.uk/sport/football/argentina-xi-vs-england-confirmed-team-news-predicted-lineup-injury-latest-world-cup-2026-b1289723.html,Messi is expected to start and remains Argentina's creator-finisher and set-piece route.
2026-07-20,03:00,Spain vs Argentina,Spain,Lamine Yamal,expected_start,1.00,https://apnews.com/article/dee9ab213948b47949b4fe9a9dde246f; https://www.houstonchronicle.com/world-cup/article/argentina-spain-preview-tv-time-channel-22349545.php,Yamal is expected to start and remains Spain's main creation route.
2026-07-20,03:00,Spain vs Argentina,Argentina,Lionel Messi,expected_start,1.00,https://apnews.com/article/dee9ab213948b47949b4fe9a9dde246f; https://www.houstonchronicle.com/world-cup/article/argentina-spain-preview-tv-time-channel-22349545.php,Messi is expected to start and remains Argentina's creator-finisher and set-piece route.
