date_bjt,time_bjt,team_a,team_b,score,source_1,source_2,notes
2026-06-23,01:00,Argentina,Austria,2-0,https://www.aljazeera.com/sports/liveblog/2026/6/22/argentina-vs-austria-live-world-cup-2026,https://indianexpress.com/article/sports/football/argentina-vs-austria-fifa-world-cup-2026-live-score-group-j-football-match-lionel-messi-david-alaba-arlington-updates-10751875/,Messi scored twice; Argentina qualified for Round of 32.
2026-06-23,05:00,France,Iraq,3-0,https://www.aljazeera.com/sports/liveblog/2026/6/22/live-france-vs-iraq-world-cup-2026,https://www.theguardian.com/football/live/2026/jun/22/france-v-iraq-world-cup-2026-live-updates,France won after a long storm delay; Mbappe brace and Dembele goal.
2026-06-23,08:00,Norway,Senegal,3-2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/norway-senegal-match-report-highlights,https://www.aljazeera.com/sports/2026/6/23/haaland-scores-two-as-norway-beat-senegal-3-2-enter-world-cup-knockouts,Haaland scored twice; Senegal late comeback fell short.
2026-06-23,11:00,Jordan,Algeria,1-2,https://www.theguardian.com/football/live/2026/jun/23/fifa-world-cup-2026-live-jordan-v-algeria-updates-jor-v-alg-group-j-match-score-latest,https://www.espn.com/soccer/story/_/id/49145580/jordan-algeria-live-world-cup-2026-latest-updates-commentary-score-result,Algeria came from behind with second-half substitute goals.
2026-06-24,01:00,Portugal,Uzbekistan,5-0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/portugal-uzbekistan-match-report-highlights,https://www.fifa.com/en/match-centre/match/17/289285/289291/400018360,Portugal reached the Round of 32 with a 5-0 win; Joao Felix scored twice.
2026-06-24,04:00,England,Ghana,0-0,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/england-ghana-match-report-highlights,https://www.fifa.com/en/match-centre/match/17/289285/289291/400018359,England missed the chance to seal qualification; Ghana held a scoreless draw.
2026-06-24,07:00,Panama,Croatia,0-1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/panama-croatia-match-report-highlights,https://www.fifa.com/en/match-centre/match/17/289285/289291/400018358,Croatia won 1-0 through Petar Musa and stayed alive in Group L.
2026-06-24,10:00,Colombia,DR Congo,1-0,https://www.theguardian.com/football/2026/jun/23/colombia-dr-congo-world-cup-2026-match-report,https://www.vavel.com/en-us/soccer/2026/06/24/1187279-colombia-vs-dr-congo-live-score-updates-stream-info-and-how-to-watch-2026-world-cup-match.html,Colombia won 1-0; DR Congo stayed compact but could not turn counters into a goal.
2026-06-25,03:00,Switzerland,Canada,2-1,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://www.sportsnet.ca/fifa-world-cup/article/canada-advances-to-knockout-stage-after-loss-to-switzerland/,Switzerland beat Canada 2-1; Canada still advanced to the knockout round.
2026-06-25,03:00,Bosnia and Herzegovina,Qatar,3-1,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://www.theguardian.com/football/live/2026/jun/24/bosnia-and-herzegovina-v-qatar-world-cup-2026-live,Bosnia and Herzegovina beat Qatar 3-1 in Group B.
2026-06-25,06:00,Scotland,Brazil,0-3,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://m.economictimes.com/news/new-updates/fifa-world-cup-2026-results-who-won-yesterday-june-24-england-held-by-ghana-croatia-stay-alive-brazil-morocco-and-switzerland-advance/articleshow/131981095.cms,Brazil beat Scotland 3-0 and advanced.
2026-06-25,06:00,Morocco,Haiti,4-2,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://m.economictimes.com/news/new-updates/fifa-world-cup-2026-results-who-won-yesterday-june-24-england-held-by-ghana-croatia-stay-alive-brazil-morocco-and-switzerland-advance/articleshow/131981095.cms,Morocco beat Haiti 4-2 and advanced.
2026-06-25,09:00,Czechia,Mexico,0-3,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://m.economictimes.com/news/new-updates/fifa-world-cup-2026-results-who-won-yesterday-june-24-england-held-by-ghana-croatia-stay-alive-brazil-morocco-and-switzerland-advance/articleshow/131981095.cms,Mexico beat Czechia 3-0 and finished Group A with three wins.
2026-06-25,09:00,South Africa,South Korea,1-0,https://www.foxsports.com/soccer/fifa-world-cup/scores,https://www.latimes.com/sports/soccer/live/fifa-world-cup-live-updates-tv-schedule-highlights-results-standings,South Africa beat South Korea 1-0 and advanced.
2026-06-26,04:00,Ecuador,Germany,2-1,https://www.espn.com/soccer/match/_/gameId/760468/germany-ecuador,https://www.theguardian.com/football/live/2026/jun/25/germany-v-ecuador-world-cup-2026-live,Ecuador came from behind to beat already-qualified Germany 2-1.
2026-06-26,04:00,Curaçao,Ivory Coast,0-2,https://www.theguardian.com/football/2026/jun/25/pepe-at-the-double-as-cote-divoire-beat-curacao-and-claim-place-in-last-32,https://www.espn.com/soccer/match/_/gameId/760473/ivory-coast-curacao,Ivory Coast beat Curacao 2-0 and reached the knockouts.
2026-06-26,07:00,Japan,Sweden,1-1,https://www.theguardian.com/football/live/2026/jun/25/japan-v-sweden-world-cup-2026-live,https://www.espn.com/soccer/match/_/gameId/760471/sweden-japan,Japan and Sweden drew 1-1 and both advanced.
2026-06-26,07:00,Tunisia,Netherlands,1-3,https://www.espn.com/soccer/match/_/gameId/760472/netherlands-tunisia,https://www.theguardian.com/football/live/2026/jun/25/tunisia-v-netherlands-world-cup-2026-live,Netherlands beat Tunisia 3-1 and topped Group F.
2026-06-26,10:00,Turkey,United States,3-2,https://www.espn.com/soccer/match/_/gameId/760470,https://www.theguardian.com/football/live/2026/jun/26/turkey-v-usa-world-cup-2026-live,Turkey beat already-qualified United States 3-2.
2026-06-26,10:00,Paraguay,Australia,0-0,https://www.espn.com/soccer/match/_/gameId/760469,https://www.theguardian.com/football/live/2026/jun/26/fifa-world-cup-2026-live-paraguay-v-australia-socceroos-updates-par-vs-aus-group-d-match-score-latest,Paraguay and Australia drew 0-0 and both advanced.
2026-06-28,05:00,Panama,England,0-2,https://www.espn.com/soccer/scoreboard,https://www.theguardian.com/football/live/2026/jun/27/panama-v-england-world-cup-2026-live-updates,England beat Panama 2-0 and topped Group L.
2026-06-28,05:00,Croatia,Ghana,2-1,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Croatia beat Ghana 2-1 and advanced from Group L.
2026-06-28,07:30,Colombia,Portugal,0-0,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Colombia and Portugal drew 0-0 with Colombia winning Group K.
2026-06-28,07:30,DR Congo,Uzbekistan,3-1,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,DR Congo beat Uzbekistan 3-1 after trailing early and advanced.
2026-06-28,10:00,Algeria,Austria,3-3,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Algeria and Austria drew 3-3 with late goals from both sides.
2026-06-28,10:00,Jordan,Argentina,1-3,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Argentina beat Jordan 3-1 with Messi scoring after starting on the bench.
2026-06-29,03:00,South Africa,Canada,0-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021518,https://www.espn.com/soccer/scoreboard,Canada beat South Africa 1-0 in the Round of 32 on a stoppage-time Eustaquio goal.
2026-06-30,01:00,Brazil,Japan,2-1,https://www.espn.com/soccer/match/_/gameId/760487/japan-brazil,https://www.theguardian.com/football/live/2026/jun/29/brazil-v-japan-world-cup-2026-last-32-live,Brazil beat Japan 2-1 in the Round of 32; Martinelli scored late.
2026-06-30,04:30,Germany,Paraguay,1-1,https://www.fifa.com/en/match-centre/match/17/285023/289287/400021513,https://www.espn.com/soccer/report/_/gameId/760489,Paraguay advanced 4-3 on penalties after a 1-1 draw with Germany.
2026-06-30,09:00,Netherlands,Morocco,1-1,https://www.theguardian.com/football/live/2026/jun/29/netherlands-v-morocco-world-cup-2026-live,https://sports.yahoo.com/soccer/fifa-world-cup/morocco-netherlands-13532363/,Morocco advanced 3-2 on penalties after a 1-1 draw with Netherlands.
2026-07-01,01:00,Ivory Coast,Norway,1-2,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Norway beat Ivory Coast 2-1 in the Round of 32; pre-match Haaland/Norway scoring route was valid while Ivory Coast also scored.
2026-07-01,05:00,France,Sweden,3-0,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,France beat Sweden 3-0 in the Round of 32; France win signal was correct but model overestimated Sweden scoring and total goals.
2026-07-01,09:00,Mexico,Ecuador,2-0,https://www.espn.com/soccer/scoreboard,https://www.foxsports.com/soccer/fifa-world-cup/scores,Mexico beat Ecuador 2-0 in the Round of 32; low-event Mexico edge was right and backup score was exact.
2026-07-02,00:00,England,DR Congo,2-1,https://www.aljazeera.com/sports/2026/7/1/kane-double-fires-england-to-comeback-win-over-dr-congo-at-world-cup-2026,https://www.englandfootball.com/england/mens-senior-team/fixtures-results/2025-26/World-Cup/england-v-dr-congo-fifa-world-cup-wednesday-1-july-2026-match-centre,England beat DR Congo 2-1; model win direction was correct but underdog scoring route was underweighted in model/market scores.
2026-07-02,04:00,Belgium,Senegal,2-2,https://www.soundersfc.com/news/belvsen-recap-belgium-defeats-senegal-3-2-in-extra-time-at-seattle-stadium-advance-to-fifa-world-cup-round-of-16,https://www.theguardian.com/football/live/2026/jul/01/belgium-v-senegal-world-cup-last-32-live,Prediction ledger uses 90-minute score Belgium 2-2 Senegal; Belgium advanced 3-2 after extra time. Model matched regulation draw and total-goal bucket.
2026-07-02,08:00,United States,Bosnia and Herzegovina,2-0,https://www.theguardian.com/football/live/2026/jul/01/usa-v-bosnia-and-herzegovina-world-cup-2026-last-32-live,https://www.cbsnews.com/news/world-cup-us-bosnia-herzegovina-round-of-32/,United States beat Bosnia and Herzegovina 2-0; win direction was correct but 4-5 total bucket was too high.
2026-07-03,03:00,Spain,Austria,3-0,https://apnews.com/article/spain-austria-score-world-cup-e5d701b4628f62556d18bdf565081c79,https://www.theguardian.com/football/2026/jul/02/spain-austria-world-cup-2026-last-32-match-report,Spain beat Austria 3-0; win direction was correct, but model's 4-5 main bucket and Austria scoring route were too high.
2026-07-03,07:00,Portugal,Croatia,2-1,https://www.espn.com/soccer/report/_/gameId/760496,https://www.aljazeera.com/sports/liveblog/2026/7/2/live-portugal-vs-croatia-fifa-world-cup-2026,Portugal beat Croatia 2-1; 2-3 total-goal bucket was right, with Croatia still finding the one-goal route.
2026-07-03,11:00,Switzerland,Algeria,2-0,https://www.theguardian.com/football/live/2026/jul/03/fifa-world-cup-2026-live-switzerland-v-algeria-updates-sui-vs-alg-last-round-32-match-score-latest,https://www.espn.com/espn/story/_/id/49252833/2026-fifa-world-cup-recap-portugal-croatia-spain-austria-algeria-switzerland,Switzerland beat Algeria 2-0; win direction was right, but model overestimated Algeria scoring and the 4-5 main bucket.
2026-07-04,02:00,Australia,Egypt,1-1,https://www.theguardian.com/football/live/2026/jul/03/australia-v-egypt-world-cup-2026-live,https://www.espn.com/soccer/scoreboard,Prediction ledger uses 90-minute score Australia 1-1 Egypt; Egypt advanced on penalties. Model score was right, but upset score 0-3 was too large for a close knockout tie.
2026-07-04,06:00,Argentina,Cape Verde,1-1,https://www.theguardian.com/football/live/2026/jul/03/argentina-v-cape-verde-world-cup-2026-live,https://www.espn.com/soccer/scoreboard,Prediction ledger uses 90-minute score Argentina 1-1 Cape Verde; Argentina advanced after extra time. Upset score 1-1 was exact and Cape Verde defensive resistance remains real.
2026-07-04,09:30,Colombia,Ghana,1-0,https://www.theguardian.com/football/2026/jul/04/colombia-ghana-world-cup-2026-last-32-match-report,https://www.straitstimes.com/sport/football/colombia-beat-ghana-1-0-to-set-up-switzerland-showdown,Colombia beat Ghana 1-0 in regulation; post-match reports describe sustained Colombian pressure but low fluency after the early Arias goal, with Ati-Zigi keeping Ghana alive. Treat as low conversion / hard-to-break-down, not clean controlled-favorite.
2026-07-05,01:00,Canada,Morocco,0-3,https://www.theguardian.com/football/2026/jul/04/canada-morocco-world-cup-2026-last-16-match-report,https://www.espn.com/soccer/scoreboard,Morocco beat Canada 3-0 in regulation. Model win direction and main 2-3 total bucket were correct; backup 1-3 was close, but Canada finishing route failed.
2026-07-05,05:00,Paraguay,France,0-1,https://www.espn.com/soccer/scoreboard,https://www.theguardian.com/football/live/2026/jul/04/paraguay-v-france-world-cup-2026-live,France beat Paraguay 1-0 in regulation. This is not an upset; treat as favorite low-event win with rough physical play and lenient refereeing, so do not use the low score to tune France attack downward.
2026-07-06,04:00,Brazil,Norway,1-2,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/brazil-norway-match-report-highlights,https://www.aljazeera.com/sports/2026/7/5/brazil-vs-norway-fifa-world-cup-round-of-16-all-to-know,Norway beat Brazil 2-1 in regulation. Model top total bucket was right but direction was wrong; Haaland/Norway direct scoring route was still underweighted.
2026-07-06,08:00,Mexico,England,2-3,https://www.theguardian.com/football/2026/jul/06/england-mexico-world-cup-last-16-match-report,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/mexico-england-match-report-highlights,England beat Mexico 3-2 in regulation. Win direction was right, but total goals were too low; Quansah red card and a high-event knockout finish make this a red-card/open-game sample rather than a pure low-event Mexico template.
2026-07-07,03:00,Portugal,Spain,0-1,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/portugal-spain-match-report-highlights,https://www.aljazeera.com/sports/2026/7/6/late-spain-goal-eliminates-portugal-ends-ronaldos-international-career,Spain beat Portugal 1-0 in regulation. This matches the low-event Spain-edge read; model direction and backup exact score were correct.
2026-07-07,08:00,United States,Belgium,1-4,https://www.timesunion.com/sports/article/2026-fifa-world-cup-team-usa-belgium-knockout-22332758.php,https://www.tbsnews.net/sports/belgium-beat-united-states-4-1-reach-world-cup-quarter-finals-1481621,Belgium beat the United States 4-1 in regulation. Total-goal main bucket was correct, but the model overestimated USA upset/draw probability and underestimated Belgium's finishing edge against USA defensive fragility.
