match,pre_match_shapes,observed_shapes,draw_multiplier,tempo_multiplier,favorite_attack_multiplier,underdog_attack_multiplier,notes
Germany vs Curaçao,open_mismatch,open_mismatch;collapse_risk,0.92,1.10,1.10,1.02,Pre-match mismatch supported higher Germany attack.
Netherlands vs Japan,transition_dog,transition_dog;open_game,1.12,1.06,0.96,1.12,Pre-match Japan transition threat raised underdog goal and draw risk.
Ivory Coast vs Ecuador,set_piece_risk;low_event,low_event,1.12,0.88,0.96,1.04,"Defensive, low-event matchup with one-goal margin risk."
Sweden vs Tunisia,,collapse_risk,1.00,1.00,1.00,1.00,Observed weak-side collapse. Do not use as pre-match shape without a pre-match defensive crisis signal.
Spain vs Cape Verde,low_block;low_event_favorite,low_block;low_event_favorite,1.18,0.90,0.84,0.96,Pre-match Cape Verde low-block risk plus Spain core attackers managed from bench justified only a moderate low-event adjustment.
Belgium vs Egypt,low_block;transition_dog,low_block;transition_dog,1.18,0.92,0.86,1.08,Pre-match compact Egypt block and transition threat justified moderate draw and underdog-goal adjustment.
Saudi Arabia vs Uruguay,set_piece_risk;low_event_favorite,set_piece_risk;low_event_favorite,1.18,0.90,0.86,1.06,Pre-match Uruguay disruption and Saudi set-piece risk justified moderate draw and low-event adjustment.
Iran vs New Zealand,transition_dog,open_game;transition_dog,1.12,1.06,0.90,1.16,Pre-match New Zealand direct attack justified underdog-goal adjustment.
France vs Senegal,transition_dog,open_favorite;transition_dog,1.06,1.04,1.04,1.08,Pre-match Senegal transition risk justified modest underdog-goal adjustment.
Iraq vs Norway,low_block,open_mismatch;collapse_risk,1.08,0.94,0.90,1.00,Pre-match Iraq low-block risk justified modest low-event adjustment.
Argentina vs Algeria,low_event_favorite;transition_dog,controlled_favorite,1.00,1.00,1.04,0.96,Pre-match low-event favorite plus Algeria transition threat roughly offset.
Austria vs Jordan,set_piece_risk;transition_dog,open_favorite;transition_dog,1.00,1.06,1.06,1.08,Pre-match Jordan set-piece and transition risk justified moderate underdog-goal adjustment.
Czechia vs South Africa,low_block;low_event_favorite,late_penalty;low_event,1.08,0.92,1.02,0.92,"South Africa suspensions weaken buildup, but under-2.5 market and likely low block keep this as a controlled Czechia favorite rather than a high-event mismatch."
